nombre,sexo,edad,clase,nivel,prompt_id,prompt
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kaelen,masculino,28,tanque,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,32,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Valerio,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,26,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kai,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,24,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Leo,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,3,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,tanque,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Rhys,masculino,28,tanque,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,25,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,3,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,38,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,25,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Caelum,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Silas,masculino,25,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Rylan,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,tanque,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,27,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Aelion,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Jax,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,32,guerrero,8,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Kael,masculino,24,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
Aurelio,masculino,28,guerrero,5,1,"Soy una persona fuerte, con mucho carisma y dotes de liderazgo.Cuando enfrento un problema lo hago de frente, porque mi valor puede vencer cualquier cosa. En la lucha no tengo rival: jamás he conocido la derrota."
