gender,native,label
male,False,1
male,False,0
female,False,0
male,False,1
male,False,0
male,False,1
male,False,0
male,False,0
male,False,0
female,False,1
male,True,0
female,False,1
male,False,1
male,True,0
male,False,0
male,False,0
female,False,0
male,False,0
female,True,0
male,True,1
male,False,0
male,False,1
male,False,0
female,True,0
male,False,1
male,False,1
female,False,1
female,True,0
male,False,1
male,False,0
male,False,0
male,False,0
male,False,0
female,True,0
male,False,0
male,False,0
male,False,1
male,False,0
female,False,0
female,False,0
female,False,0
male,False,0
male,False,1
female,False,0
male,False,0
male,False,0
male,False,0
male,False,0
male,True,1
female,False,0
female,False,1
male,False,1
male,False,0
male,False,0
male,False,0
male,True,0
female,False,0
male,False,0
male,True,0
female,False,0
male,False,1
male,False,0
male,False,0
male,False,0
female,False,1
male,False,0
male,False,1
male,False,1
female,False,0
male,False,1
male,False,0
male,True,1
male,False,1
male,False,0
male,False,0
male,True,1
male,False,0
female,False,1
female,False,1
male,False,0
